id,user,name,text,favourite_count,retweet,retweet_count,user_mentions,hashtags,created_at,location
1431014801069821957,Crypto_Solu,Crypto Solutions,"🟡🔴Bitcoin Bulls After Today's Price Action: 
Like and Follow me, for new crypto memes almost every day!! #bitcoins… https://t.co/adjgBy9WWX",0,False,0,[],"[{'text': 'bitcoins', 'indices': [105, 114]}]",2021-08-26 22:04:50,
1431014708262449157,DejanRoljic,Dejan Roljic,"RT @mindfulnas: How Crypto Will Go Mainstream 
Thanks to @DejanRoljic and @eligmacom ___
#Bitcoin  #gocrypto #cryptocurrencies #CryptoNews…",0,True,7,"[{'screen_name': 'mindfulnas', 'name': 'Naser ⚡️', 'id': 430380617, 'id_str': '430380617', 'indices': [3, 14]}, {'screen_name': 'DejanRoljic', 'name': 'Dejan Roljic', 'id': 42396175, 'id_str': '42396175', 'indices': [57, 69]}, {'screen_name': 'eligmacom', 'name': 'GoCrypto', 'id': 958698339738013696, 'id_str': '958698339738013696', 'indices': [74, 84]}]","[{'text': 'Bitcoin', 'indices': [89, 97]}, {'text': 'gocrypto', 'indices': [99, 108]}, {'text': 'cryptocurrencies', 'indices': [109, 126]}, {'text': 'CryptoNews', 'indices': [127, 138]}]",2021-08-26 22:04:28,Republic of Slovenia
1431014543157866505,VHIMPACT,VH IMPACT,"RT @ProTheDoge: I believe in the next 5 years the Top 5 cryptocurrencies will be:

1. #Dogecoin
2. #Ethereum 
3. #Bitcoin
4. #Cardano 
5. #…",0,True,352,"[{'screen_name': 'ProTheDoge', 'name': 'SlumDOGE Millionaire', 'id': 1358176095850229761, 'id_str': '1358176095850229761', 'indices': [3, 14]}]","[{'text': 'Dogecoin', 'indices': [86, 95]}, {'text': 'Ethereum', 'indices': [99, 108]}, {'text': 'Bitcoin', 'indices': [113, 121]}, {'text': 'Cardano', 'indices': [125, 133]}]",2021-08-26 22:03:48,Munich / California 
1431014237871116289,MrNakaboto,SATOSHINAKABOTO,"Should i swap all my BTC into ETH?? 🤔🤔🤔
 
#NFT #NFTCommunity #nftcollector #cryptocurrencies #Crypto #Bitcoin #Ethereum",1,False,0,[],"[{'text': 'NFT', 'indices': [42, 46]}, {'text': 'NFTCommunity', 'indices': [47, 60]}, {'text': 'nftcollector', 'indices': [61, 74]}, {'text': 'cryptocurrencies', 'indices': [75, 92]}, {'text': 'Crypto', 'indices': [93, 100]}, {'text': 'Bitcoin', 'indices': [101, 109]}, {'text': 'Ethereum', 'indices': [110, 119]}]",2021-08-26 22:02:35,
1431013837973643269,cryptolord1983,cryptolord,RT @dylanmcgregor6: #altcoin #bitcoin #cryptocurrency #blockchain #crypto #ethereum #btc #altcoins #hodl #binance #ripple #cryptonews #cryp…,0,True,4,"[{'screen_name': 'dylanmcgregor6', 'name': 'DCMfitness', 'id': 255848065, 'id_str': '255848065', 'indices': [3, 18]}]","[{'text': 'altcoin', 'indices': [20, 28]}, {'text': 'bitcoin', 'indices': [29, 37]}, {'text': 'cryptocurrency', 'indices': [38, 53]}, {'text': 'blockchain', 'indices': [54, 65]}, {'text': 'crypto', 'indices': [66, 73]}, {'text': 'ethereum', 'indices': [74, 83]}, {'text': 'btc', 'indices': [84, 88]}, {'text': 'altcoins', 'indices': [89, 98]}, {'text': 'hodl', 'indices': [99, 104]}, {'text': 'binance', 'indices': [105, 113]}, {'text': 'ripple', 'indices': [114, 121]}, {'text': 'cryptonews', 'indices': [122, 133]}]",2021-08-26 22:01:00,Home
1431013637913710592,btcsentimentCOM,btcsentiment,"🐋 #Crypto Whales vs. #Stablecoins 💵

🚨 Last 4 hours of #BTC-Exchange transactions 🚨

For clarification:
#Crypto are… https://t.co/dpSPjGhVyT",0,False,0,[],"[{'text': 'Crypto', 'indices': [2, 9]}, {'text': 'Stablecoins', 'indices': [21, 33]}, {'text': 'BTC', 'indices': [55, 59]}, {'text': 'Crypto', 'indices': [104, 111]}]",2021-08-26 22:00:12,
1431013628979855370,RudyRoberto,CRYPTOBTC😈,"RT @ProTheDoge: I believe in the next 5 years the Top 5 cryptocurrencies will be:

1. #Dogecoin
2. #Ethereum 
3. #Bitcoin
4. #Cardano 
5. #…",0,True,352,"[{'screen_name': 'ProTheDoge', 'name': 'SlumDOGE Millionaire', 'id': 1358176095850229761, 'id_str': '1358176095850229761', 'indices': [3, 14]}]","[{'text': 'Dogecoin', 'indices': [86, 95]}, {'text': 'Ethereum', 'indices': [99, 108]}, {'text': 'Bitcoin', 'indices': [113, 121]}, {'text': 'Cardano', 'indices': [125, 133]}]",2021-08-26 22:00:10,
1431013617147817988,CryptoGulp,Crypto Gulp,"Top 5 Cryptocurrencies - Current Prices

⬆️ $BTC: $47,259.91 | Bitcoin +0.53%
⬆️ $ETH: $3,136.55 | Ethereum +0.61%… https://t.co/Xd8CEnaugj",0,False,0,[],[],2021-08-26 22:00:07,🌐
1431013613460934665,cryptok12072479,crypto king 👑,"Investing is not enough. Investing in the correct thing is. 

What are you Investing in? 

#hex is the best preform… https://t.co/DdK3KvnI52",1,False,0,[],"[{'text': 'hex', 'indices': [91, 95]}]",2021-08-26 22:00:07,Texas USA
1431013585145143298,signsmag,Signs of the Times - Aus/NZ,🪙💻 #Bitcoin is big business for professionals and amateurs alike. Alina Kartman spoke with an investor to try figur… https://t.co/ltYiuXvxQl,0,False,0,[],"[{'text': 'Bitcoin', 'indices': [3, 11]}]",2021-08-26 22:00:00,"Sydney, Australia"
1431013584893583361,valueofcrypto,crypto spot,"#Bitcoin
Current Price:
$ 47278.29
€ 40247.82

#cryptocurrencies #blockchain #BTC",0,False,0,[],"[{'text': 'Bitcoin', 'indices': [0, 8]}, {'text': 'cryptocurrencies', 'indices': [47, 64]}, {'text': 'blockchain', 'indices': [65, 76]}, {'text': 'BTC', 'indices': [77, 81]}]",2021-08-26 22:00:00,
1431013278138867713,AilsaForshaw,Ailsa Forshaw🧢,#Coinmine makes #Crypto easy. Just plug in. Connect to WiFi. And choose the #cryptocurrency you want to mine from t… https://t.co/8fqUJEV4aL,0,False,0,[],"[{'text': 'Coinmine', 'indices': [0, 9]}, {'text': 'Crypto', 'indices': [16, 23]}, {'text': 'cryptocurrency', 'indices': [76, 91]}]",2021-08-26 21:58:47,
1431012819391197186,bambenek,John Bambenek,"Man Sues Parents of Teens Who Hijacked Nearly $1M in Bitcoin.
Those privacy features are luring attackers to crypto… https://t.co/ozNzCqEX2n",0,False,0,[],[],2021-08-26 21:56:57,"Champaign, IL"
1431012504977690628,OPEWESTYRN,BIG WEST🦅,"RT @ProTheDoge: I believe in the next 5 years the Top 5 cryptocurrencies will be:

1. #Dogecoin
2. #Ethereum 
3. #Bitcoin
4. #Cardano 
5. #…",0,True,352,"[{'screen_name': 'ProTheDoge', 'name': 'SlumDOGE Millionaire', 'id': 1358176095850229761, 'id_str': '1358176095850229761', 'indices': [3, 14]}]","[{'text': 'Dogecoin', 'indices': [86, 95]}, {'text': 'Ethereum', 'indices': [99, 108]}, {'text': 'Bitcoin', 'indices': [113, 121]}, {'text': 'Cardano', 'indices': [125, 133]}]",2021-08-26 21:55:42,STARBOY CENTRAL
1431011987228667904,oladipupo_alaka,ALAKA OLADIPUPO,RT @LovecoinProject: What will be the best preforming cryptocurrency of 2022? #bitcoin #ethereum #dogecoin #lovecoin #cryptocurrencies,0,True,207,"[{'screen_name': 'LovecoinProject', 'name': 'Lovecoin Project', 'id': 1388044935094366209, 'id_str': '1388044935094366209', 'indices': [3, 19]}]","[{'text': 'bitcoin', 'indices': [78, 86]}, {'text': 'ethereum', 'indices': [87, 96]}, {'text': 'dogecoin', 'indices': [97, 106]}, {'text': 'lovecoin', 'indices': [107, 116]}, {'text': 'cryptocurrencies', 'indices': [117, 134]}]",2021-08-26 21:53:39,
1431011972263391234,Doston500137401,Doston,RT @LovecoinProject: What will be the best preforming cryptocurrency of 2022? #bitcoin #ethereum #dogecoin #lovecoin #cryptocurrencies,0,True,207,"[{'screen_name': 'LovecoinProject', 'name': 'Lovecoin Project', 'id': 1388044935094366209, 'id_str': '1388044935094366209', 'indices': [3, 19]}]","[{'text': 'bitcoin', 'indices': [78, 86]}, {'text': 'ethereum', 'indices': [87, 96]}, {'text': 'dogecoin', 'indices': [97, 106]}, {'text': 'lovecoin', 'indices': [107, 116]}, {'text': 'cryptocurrencies', 'indices': [117, 134]}]",2021-08-26 21:53:35,
1431011893871841283,J0hnEDeaton1,KKKK,"RT @JohnEDeaton1: It doesn’t matter if you’re investing in cryptocurrencies or stocks. Whether it’s #Bitcoin or #AMZN, selling is a difficu…",0,True,4,"[{'screen_name': 'JohnEDeaton1', 'name': 'John E Deaton', 'id': 1079853966681346048, 'id_str': '1079853966681346048', 'indices': [3, 16]}]","[{'text': 'Bitcoin', 'indices': [100, 108]}, {'text': 'AMZN', 'indices': [112, 117]}]",2021-08-26 21:53:17,
